count_words,count_mentions,count_hashtags,count_capital_words,count_excl_quest_marks,count_urls,Sentiment,clean_text,clean_count_words
6,1,0,0,0,0,1,love new ipod updat,4
23,2,0,0,0,0,1,wife upgrad iphon think siri alon worth upgrad look forward continu enhanc siri,13
15,3,3,1,0,1,1,rt thx thx hypo tri http co bppjwncp,8
17,2,0,0,0,0,1,honor tonit truli great loss world miss,7
13,2,3,0,0,1,1,thx thx hypo tri http co deejhbt,7
8,1,2,0,0,0,1,love new iphon thank io,5
12,1,0,0,0,1,1,love much thank http co uiloezx,6
7,1,1,0,0,0,1,iphon great geniu,3
24,1,1,0,0,0,1,card app notifi card sent arriv local post offic deliv today sunday truli magic,14
29,1,0,0,0,0,1,love new updat think get better somehow simplifi life right appl,11
4,1,0,0,0,0,1,siri amaz,2
8,2,0,0,1,0,1,need iphon siri,3
22,1,1,0,0,1,1,meet siri new iphon butler click link amaz http co lvffdcel,11
8,2,0,0,4,0,1,man store whoop beamingfacewithsmilingey,4
27,1,1,3,4,0,1,use work pc never ever get feel worst speaker ever spoil imamac,12
6,1,0,0,0,1,1,heartsuit http co aoniaa,4
14,2,0,0,0,0,1,got new io upgrad imessag good luck surviv,8
4,1,2,0,2,0,1,love io awesom,3
18,3,1,6,0,0,1,rt right iphon must addict welcom club,7
23,1,0,0,0,1,1,thank innov exhibit guy play facetim instead watch game sport bar http co oukg,14
13,2,0,0,11,0,1,boo hiss wuhu berri power technolog actual work,8
14,1,0,0,0,0,1,far best ipod first time iphon ever good job guy,10
11,1,0,0,0,1,1,thank steve store th av http co nsaisrip,8
13,2,0,0,1,0,1,siri witchcraft next yr lead lost,6
22,1,0,0,1,0,1,io sweet notif phone search cover mail wifi sync icloud backup integr twitter well done,15
22,2,0,2,0,1,1,rt anoth great jame stewart stori today ny time import architectur retail success http,14
22,1,0,1,0,1,1,anoth great jame stewart stori today ny time import architectur retail success http co kniz,15
8,1,0,0,0,1,1,lt http co ondxwper,4
15,2,1,0,0,0,1,welcom twitter world due io thank guy,7
20,1,0,0,0,0,1,impress servic geniu bar metro centr power cabl replac free book screen replac free,14
25,3,0,1,0,0,1,rt nice guy store replac phone grati show hairlin crack screen thank,12
23,2,0,0,0,0,1,nice guy store replac phone grati show hairlin crack screen thank,11
20,1,0,0,0,0,1,iphon batteri last longer day happen sinc edg iphon nice job,11
27,1,1,0,1,0,1,would taken min write blackberri thank convert show grass greener,10
15,3,0,1,1,0,1,rt got new backsid eye phone impress,7
13,2,0,0,1,0,1,got new backsid eye phone impress,6
21,1,2,0,0,1,1,iphon space http co jinnhvwz amaz creativ product inspir peopl unbeliev thing,12
17,1,0,0,1,0,1,thank make ipad feel like new new io,8
17,1,0,0,0,2,1,ibertaddigit tv ipad briliant stevejob produck http co ohfli present http co dbbwsdpx,13
22,1,0,0,1,0,1,use awsom ipad love love macbook ipod amaz love,9
12,1,0,0,0,0,1,io upgrad done much better featur featur requir,8
9,1,0,2,0,0,1,new io updat best ilovey,5
12,2,0,0,0,0,1,final got iphon thank stupid learn lesson,7
11,1,0,0,0,0,1,absolut love iphon thank steve,5
25,1,2,0,0,0,1,invent product actual get brother call parent get go amaz siri ipod,12
13,1,0,0,0,0,1,dammit listen siri make want upgrad well play,8
25,1,2,0,2,0,1,creat new folder within photo album io final thank thorn side newfeatur,12
15,3,0,0,0,0,1,video card workstat die six month long hello,8
23,5,0,0,2,0,1,realli make throw trash get iphon upload issu,8
10,1,1,0,2,0,1,io updat submit thank support,5
10,1,0,0,1,0,1,awesom servic store pc thank chri,6
11,2,0,1,0,1,1,rt thank fix http co wtjogdo,6
12,1,1,0,1,0,1,crazi io photo crop best,5
9,1,0,0,0,1,1,thank fix http co wtjogdo,5
8,1,0,0,5,0,1,hell ye got contact back thank,6
20,2,0,11,2,0,1,rt fu king love phone best thing ever siri best thing ever made,13
4,1,0,0,0,0,1,chang life,2
22,1,0,0,2,0,1,mad prop employe charg replac back plate iphon made day,10
9,2,0,0,0,0,1,actual mous pretti sweet man,5
17,1,1,0,0,0,1,iphon amaz siri voic recognit absolut step previou attempt bravo,10
12,2,0,0,0,0,1,final got iphon thank get time,6
11,1,1,0,1,0,1,io nice thank,3
11,1,1,1,1,0,1,good support fm kevin bellevu store biz custom ty,9
12,1,1,1,1,0,1,download io better expect thankyou,5
8,1,0,0,4,0,1,siri amaz love,3
6,1,0,0,2,0,1,love love love io,4
26,2,0,3,0,0,-1,rt appar put mb cap sm new updat mb storag tell inbox full,13
19,3,0,1,0,0,-1,rt iphon expens went htc galaxi no custom loyalti phone comp,11
17,2,0,0,0,0,-1,iphon expens went htc galaxi no custom loyalti phone comp,10
12,1,0,4,0,1,-1,kill appl http co jwzc rip,6
15,1,1,0,1,0,-1,tune no go iphon iphon lone without silli io,9
8,1,1,0,0,0,-1,need hurri releas itunesmatch,4
6,1,1,0,0,0,-1,siri alway,2
21,1,0,0,1,0,-1,need exchang cord appl store wait geniu,7
9,1,1,0,0,0,-1,airdrop fail immedi declin request everi time,7
19,1,1,0,0,1,-1,good articl fuck lion futur http co zndpvr fb,9
19,3,0,1,1,1,-1,rt yellowg iphon user complain yellow tint screen http co uaqrxtnk,11
17,2,0,0,1,1,-1,yellowg iphon user complain yellow tint screen http co uaqrxtnk,10
23,1,1,0,1,0,-1,one iphon featur still miss sinc first show contact pictur contact list simpl yet major updat miss,17
21,1,0,0,0,0,-1,ask siri dream electr sleep disappoint snippi answer miss opportun,10
21,2,0,0,0,0,-1,surpris throw error alert author no author comput button,9
11,2,0,0,1,0,-1,shhhh evil sith lord may hear ha,7
9,1,0,7,0,0,-1,fuck die fuck blaze inferno,5
23,1,0,0,0,0,-1,oh steve obvious noth iphoto perfect opposit insan great get fix pleas,12
13,1,0,12,0,0,-1,omg fuck delet music dick,5
24,2,0,0,1,0,-1,itun go store gt authorise… auto authoris sign itun grrrr,10
17,1,0,0,0,0,-1,serious absolut no of clue mean author nor,8
26,1,0,0,1,0,-1,boy could make harder put purchas music cloud new macbook pro must author computer…,14
27,1,0,0,0,0,-1,shit shit shit io updat ate app data media like said would go take time rebuild,16
25,2,0,2,6,0,-1,not tell least gb iphon la vega give fuck break,10
14,1,4,0,1,0,-1,love download hour pad wonki ripstevejob thenonsensepersist neednewipadguid fatfuckingch,9
17,1,4,0,0,0,-1,dear new air notbook sinc updat kill wifi bug destroy product,11
20,2,0,0,3,0,-1,done profit lack custom servic fuck,6
12,1,1,0,0,0,-1,would great would send new phone frustrat,7
22,1,1,0,0,0,-1,thank ruin gs io turn phone utterli useless pile shit,10
26,4,0,0,1,0,-1,no option replac iphon not sure want one duff iphon,10
27,1,0,2,1,0,-1,appar put mb cap sm new updat mb storag tell inbox full,12
27,1,0,1,1,0,-1,know almost week sinc paid itun match would realli like use eta fix,13
4,1,0,0,0,0,-1,remov shit,2
17,2,0,0,0,0,-1,iphon give hella hard time io updat,7
17,2,0,3,3,0,-1,suck hello rt interest note droid razr batteri remov,9
29,1,0,0,0,0,-1,send iphon preorder hr launch can send jackass want shoot blend em,12
23,2,0,1,0,0,-1,got ta say itouch iphon shuffl etc sound qualiti aw pain crap downgrad sound qualiti wise,16
25,2,0,0,0,0,-1,upgrad slow phone much stuck half time uch thank no damag suck,12
28,2,0,0,0,0,-1,think thorough job step step upgrad move icloud cost mightili,10
23,1,1,0,0,0,-1,hey io iphon includ song compil album artist name whaddupwitdat,10
29,2,0,2,2,0,-1,send not rcve txt apt pm exclaim wait whole year phone lmao,12
25,1,0,0,0,0,-1,total chao store regent street like ethiopian feed station believ co make cool shit,14
20,2,1,0,1,0,-1,made purchas wait survey hate go bad custserv,8
27,2,0,2,1,0,-1,correct best buy kudo chri alamo ranch tx fix issu resolv day hero day,14
22,3,0,1,0,0,-1,ppl stand line hr get newest model sucker,8
25,1,0,0,0,0,-1,would kill put braill type bump earbud know bud dark,10
7,2,0,2,0,0,-1,wow crush dream,3
22,3,0,2,3,1,-1,rt oh fuck alreadi gt iphon schedul summer launch http co ofhptag via,13
20,2,0,1,3,1,-1,oh fuck alreadi gt iphon schedul summer launch http co ofhptag via,12
26,1,1,0,0,0,-1,no wait thursday avail appoint geniu tell shit luck,9
23,1,0,4,6,0,-1,wtf new io allow not get push notif newstand siri keep yap fuck,13
19,1,2,0,1,0,-1,ipad io messag icon includ use,6
15,2,1,1,1,0,-1,yea pre order sorri like,5
16,1,3,0,1,1,-1,interest requir reserv appl iphon http co zzkftii,8
9,1,1,0,0,0,-1,iphon batteri crappi fail,4
7,2,0,0,0,0,-1,keyboard not type,3
22,2,0,0,4,0,-1,icloud sync sticki alway around noth everi progress appl,9
23,1,0,0,0,0,-1,new save version function page absolut aw interrupt counter intuit piec crap world,13
11,1,0,0,0,0,-1,hate comput that dollar drain,5
7,1,0,0,5,0,-1,iphon charg slowli,3
21,1,1,0,0,0,-1,io gm ipad slow wash better beta solv problem give ipad,11
27,1,0,1,2,0,-1,wish could pick month day year set new calendar item iphon new io fix yet,15
17,1,0,0,0,0,-1,itun worst program ever great phone make aw softwar,9
17,1,0,0,0,0,-1,one would think voic recognit tech support line would work littl better,12
21,1,0,0,1,0,-1,repair ipad appl lost year android come,7
21,3,0,1,0,0,-1,proper consolid proper sync stop lose purchas item checkbox think,10
9,3,0,0,0,0,-1,desktop app wack though,4
25,1,0,0,1,1,-1,made reserv yet still wait line humpt oh appl store other http co jzmvbdnm,14
19,1,1,0,1,0,-1,frustrat bought new macbook pro find doesnt ship media expensivepaperweight,10
26,1,0,0,0,0,-1,dear turn awesom featur enabl data plan handl mb data,10
8,1,2,0,0,0,-1,dontbemadatmebecaus android far better,4
23,1,0,0,1,0,-1,problem io prevent audio app audio function oper properli keep lose sound,12
24,2,5,0,0,1,-1,appl one thing hater mous butteri finish fast not happi macworld http co uhavt,14
21,1,1,0,0,0,-1,hey stop send automat depreci iphon older signal iphon die rapidli processor wise,13
28,2,0,2,1,0,-1,thing bad new camera two compact flash card not one sd sd goe comput damn,15
27,1,0,0,4,0,-1,wtf page new term condit updat ur app itun store realli think read em realli,15
3,1,0,0,0,0,-1,fuck,1
22,1,0,0,0,0,-1,oh prolli ganna late work bc screw phone alarm,9
23,1,0,0,0,0,-1,fuck dose phone decid ganna freez everi time tri updat fuck sick,12
21,1,1,0,0,0,-1,need text wait wont get cuz fuck everi time fuckingpiss,10
12,1,0,0,0,0,-1,imessag show time messag sent annoy,6
11,1,0,0,1,1,-1,like da fuck shit http co nbdhlsg,7
23,4,0,1,5,0,-1,rt wit chu offici boycot call curs next use wast,10
8,1,0,0,4,0,-1,damn whatchu done phone,4
21,1,0,0,0,1,-1,samsung seek iphon ban japan australia patent war intensifi injunct sought http co qmwjtvnk,14
22,1,1,0,1,0,-1,everi time io softwar updat ipad goe dead need total restor fail,12
26,1,1,0,3,0,-1,io noth pain ass no room music photo app undo garbag,11
23,3,1,1,1,0,-1,rt hear troubl even turn bright andshuttingdownru,7
22,2,2,0,1,0,-1,hear troubl even turn bright andshuttingdownrunningprogram nohelp,7
10,2,2,0,0,0,-1,rememb evil icloud enter dropbox market,6
12,1,0,0,0,0,-1,second full charg day piss,5
27,4,0,2,4,0,-1,rt bs tell go certain time muh fuh close,9
21,3,0,0,6,0,-1,wit chu offici boycot call curs next use wast time,10
12,1,0,1,1,0,-1,ugh reserv page iphon not work,6
21,1,1,0,0,0,-1,itun worst product wors newton hockey puck mous utterli pain use,11
24,2,1,16,0,0,-1,deár icloud hate hope die worst fuck invent world fuck youuuuuuuuuuuu icloud,12
23,1,0,0,0,0,-1,updat io lose everyth phone wont let sign itun account thank,11
19,2,0,1,0,0,-1,suddenli lost address book iphon someon use id fuck,9
14,1,0,0,5,0,-1,oh iphon overcapac huh let great,6
23,1,0,0,2,0,-1,issu updat itun window pc realli not compat sent time talk care use,13
5,1,0,0,0,0,-1,guy gay,2
21,1,2,13,1,0,-1,restor iphon still no text dear no love restrict sm no text io iosatemydingo,14
15,1,0,0,3,0,-1,none app work new io,5
15,3,2,0,0,0,-1,seemingli endless loop call investig miss iphon crankywithnophon,8
11,2,0,0,2,0,-1,terribl hope get apolog,4
17,3,0,0,0,0,-1,phone pretti much ever sinc realli annoy,7
26,2,0,0,0,0,-1,get busi new phone want buy stylu made wait forev outsid never,12
14,2,1,0,0,0,-1,pleas deliv daughter drive nut iphon,6
25,1,0,0,0,0,-1,givin stupid reserv system days… cant get reserv never buy appl products… yup hate contract,15
23,3,1,0,0,0,-1,still no word iphon preorder best buy blame sprint sprint blame want honest answer help,15
13,1,0,1,0,0,-1,hey sm full messag complet shit ye annoy,8
21,1,0,0,2,1,-1,never poor custom servic happen appl store other http co gklxmui,11
20,1,0,0,0,1,-1,servic experi realli fuck slip except cute eyelash bat girli appl store http co dohdenmg,15
21,1,0,2,4,0,-1,ipa not hour jailbrok shag itun letm restor sym,9
20,3,0,0,1,0,-1,happen snatch siri could douchebag say,6
16,2,1,1,1,0,-1,think make siri total depend network connect siri utter frustrat,10
17,1,1,0,0,0,-1,wow geniu bar reserv line ridic right not amus ugh,10
5,1,0,0,7,0,-1,iphon,1
7,1,0,0,0,0,-1,batteri life suck io,4
21,1,0,1,0,0,-1,appl updat seem render work machin incap open hdv video thank zero use product today,15
26,1,0,0,1,0,-1,commit cloud storag idisk rain soon no idisk plan new servic storag,12
29,1,0,0,2,0,-1,hey share remind list iphon also login icloud webpag modifi share phone,12
11,1,1,0,0,0,-1,appar fuzzbal crash io congratul anoth incompat upgrad,8
17,1,0,0,0,0,-1,could lion pleas integr vertic space mission control horizont busi make nauseou,12
27,1,0,0,0,1,-1,someon plz explain whhyy distribut phone per day sprint store realli http co uftakf,14
23,1,0,1,0,0,-1,gah io open text messag pain slow top restor attempt succeed earli adopt get better,15
23,1,2,0,1,0,-1,dear pdf epub file disappear ibook iphon post io upgrad hurt gs needsomethingtoread,13
26,2,0,1,0,0,-1,lie batteri new iphon definit not better lt lt check set time app usag io,15
22,2,0,0,0,1,-1,huge podcast fan realli feel like drop ball one http co wvzprbci via,13
22,2,0,0,0,1,-1,realli like siri voic perhap get star war voic like http co psujgpn,13
23,2,0,1,1,0,-1,realli hate deal brain dead peopl store good product custom servic suck nz,13
20,1,0,0,0,0,-1,realli hate deal brain dead peopl store good product custom servic suck,12
23,1,0,0,1,0,-1,make photo album photo app io password protect um fix quickli,11
19,3,2,0,1,0,-1,anyon els see miss signal bar iphon gs upgrad io cc,11
15,2,0,2,0,0,-1,rt lie batteri new iphon definit not better,8
22,1,1,0,0,0,-1,want know custom think dont send updat norepli return address invent anyway useless,13
26,1,0,0,0,0,-1,everi time tri voic control ipod touch send imessag start play knew pink still not flawless,16
17,1,1,4,1,0,-1,studi work no hold hurri fuck nopati,7
21,1,2,1,2,0,-1,ok hindi keyboard io someth cheer support miss indian languag fail,11
22,1,1,1,0,1,-1,rt warn iphon app spontan loos data might not app fault http co sesvwwm iosdowngrad,15
13,2,0,0,1,0,-1,ah yeah option hope figur thx,6
23,1,0,1,1,0,-1,wait item copi itun everyth copi goe come hell,9
12,2,0,0,0,0,-1,unhappi servic product qualiti buy,5
13,1,0,0,0,0,-1,lie batteri new iphon definit not better,7
21,2,0,0,1,0,-1,dear got ta go chang way lt input type number gt handl blue,13
17,1,1,0,0,0,-1,hold custom servic minut wow lt like timewarnerc,8
18,1,2,1,1,0,-1,anyon els stuck dupe calendar mail batteri suck hell icloud osx lion disappoint,13
26,1,0,0,4,0,-1,inventor comput mous never made one not complet piec fuck shit,11
21,1,0,0,1,0,-1,kill excit io no longer tragic batteri drain geniu bar want replac batteri realli,14
23,1,2,0,1,0,-1,st impress io disappoint upgrad restor lot app folder miss much time went org fail,15
11,2,0,0,1,0,-1,question rememb dissent,3
17,1,0,0,1,0,-1,multipl time siri troubl connect network siri need server exercis,10
8,1,0,0,1,0,-1,imessag still work,3
25,2,1,1,0,0,-1,rt not resolv siri network issu need renam great product sorri els havin,13
20,1,0,0,1,0,-1,dear got ta go chang way lt input type number gt handl blue,13
10,2,0,1,1,0,-1,ugh wtf bottleneck,3
14,2,1,3,11,0,-1,rt pleas fix siri connect network,6
11,1,1,2,11,0,-1,pleas fix siri connect network,5
24,1,1,0,1,0,-1,not resolv siri network issu need renam great product sorri els issu,12
19,1,2,0,1,0,-1,chanc releas good headphon dont blast music outsid ear iphon ipod quit obnoxi,13
16,1,3,0,3,0,-1,siri not work due network problem serious fix iphon fail,10
9,3,0,0,0,0,-1,cloudi tech not techi,4
18,2,0,0,0,0,-1,connect process command fail right,5
19,1,0,0,1,0,-1,see happen releas iphon crappi design old phone,8
18,2,0,1,0,0,-1,rt look like not appropri project resourc need siri not reliabl,11
15,1,0,0,0,0,-1,look like not appropri project resourc need siri not reliabl,10
30,1,0,0,0,0,-1,spoke rep phone could hear tv blare bg said actual help direct back web,14
7,1,0,0,0,0,-1,wrong siri today,3
4,1,0,0,1,0,-1,siri,1
23,1,0,0,0,0,-1,suspect time health declin iphon perfectli iphon releas batteri serious ail,11
18,1,0,0,0,0,-1,hold anoth half hour phone ring no one pick stink,10
14,1,2,0,1,0,-1,ok softwar updat iphon take waaaaay long annoy,8
22,1,2,0,0,1,-1,would better inform custom properli migrat icloud mani complaint lead imag damag http co qlzmppo,15
20,1,0,0,1,0,-1,io rape batteri life use phone lot sinc get,9
17,3,1,2,0,0,-1,hope small bug must fix right appl itjustwork,8
19,2,0,3,0,0,-1,realis realli piss custom base well look petti,8
19,1,0,0,1,0,-1,app updat origin folder locat pain,6
28,1,0,1,0,0,-1,domain fail open hr late walk ppl store empti need skin screen repres custom servic fail,16
21,2,0,0,0,0,-1,chipset tear batteri life cowork htc thunderbolt get hour life,10
22,1,0,0,0,0,-1,wish appl updat would stop tri ram itun throat piss iphon,11
16,2,2,0,1,0,-1,iphon run slower sinc io updat,6
13,1,0,0,0,0,-1,search voic year old nexu one,6
27,1,1,0,1,0,-1,updat server time week forc restor new io softwar lost stuff thank,12
24,1,2,1,1,0,-1,appleupd success stori iphon ipad phone appl min ipad not wast time replaceit,13
28,1,0,0,0,0,-1,thank minut wait hold half hour actual talk someon tech decid send email fix phone,15
15,2,0,0,0,0,-1,upset inconvenienc iphon updat fail backup,6
26,1,0,1,1,0,-1,serious financ damn phone greedi bastard santa get jolli ass gear get us white plz,15
28,2,0,1,1,0,-1,schedul busi spend unqual time recov iphon mo mobil get mo immobil sync not,14
19,2,0,2,1,0,-1,ponder io updat sound difficulti may hold fix,8
13,2,0,1,0,0,-1,know issu dst alarm,4
21,1,1,0,0,0,-1,book geniu bar hour still serv disappoint appl store sydney thanksfornoth,11
25,1,0,0,1,0,-1,appar geniu train extend clock servic half hour late appoint let know,12
13,1,0,1,0,0,-1,thank os updat succes brick ipod,6
27,1,0,0,0,0,-1,screw io download crap tire tri get problem figur connect time,11
25,1,0,0,0,0,-1,wow icloud mail st io upgrad issu realli hope without steve job,12
26,1,0,0,0,0,-1,guy test upgrad put hr guy wast time yesterday thank,10
25,1,3,0,5,0,-1,go product first ipad freez still frozen iphon turn techietroubl,10
15,1,2,0,0,0,-1,ipad perpetu restor loop tri upgrad io sux without steve,10
20,1,0,0,0,0,-1,nd geniu apptment run late nd day row nd dodgi ipod make mega hire staff,15
18,1,1,1,1,0,-1,took year figur properli syncron iphon wow io,8
32,1,0,0,0,0,-1,went th ave store told could wait hour get needless say back hotel relax,14
19,1,0,0,0,0,-1,overal fan iphon howev siri issu connect network,8
22,1,0,0,4,0,-1,terribl custom servic lo gato pay bad home button iphon,10
19,1,0,0,0,0,-1,thank suck much not believ would sell someth onlin made,10
17,3,0,0,1,0,-1,major batteri drain issu sinc updat iphon io anyon els,10
17,1,0,0,1,0,-1,dear pleas send mac book back sure repair done thank,10
10,1,1,0,0,0,-1,io iphon caus camera apperatur dilat problem freez,8
15,1,2,0,1,0,-1,io geoloc suburb word drop map pin state pleas fix,10
11,1,2,1,0,0,-1,sorri imessag never bbm disappoint,5
9,1,0,0,0,0,-1,iphon siri work shit,4
20,1,1,1,1,0,-1,clarenc thoma must design new osx lion toss decad workflow standard bring back save autosavesuck,15
25,2,0,0,1,0,-1,yeah except ask receipt take minut figur print fix,9
16,2,0,1,0,0,-1,rt hey wan na fix fuck playlist order piec shit,10
26,2,0,0,2,0,-1,bummer ipad fantasi footbal app keep crash not sure app new io two app run,15
10,1,1,0,0,0,-1,suck dick got ta restor ipad annoy,7
8,1,0,1,0,0,-1,line stupid,2
12,2,1,0,2,0,-1,man sux io upgrad total fail,6
19,1,0,0,0,0,-1,dear contact terribl clean duplic hour magic reappear fix,9
15,1,0,0,1,1,-1,much ask app incompat http co ykqipnk,7
24,1,0,1,0,0,-1,piss whoever design keyboard not home end key work cli use key often,13
21,2,0,0,3,0,-1,mine gone not recov save upgrad iphon soooo piss,9
14,1,0,0,0,0,-1,hey wan na fix fuck playlist order piec shit,9
